parent_sku,sku,regular_price,meta:_regular_price,meta:_price,sale_price,manage_stock,stock_status,meta:attribute_pa_style,meta:attribute_pa_sex,meta:attribute_pa_color,meta:attribute_pa_size
ART-0169-TS,ART-0169-TS-55,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,3XL
ART-0169-TS,ART-0169-TS-56,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,M
ART-0169-TS,ART-0169-TS-57,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,L
ART-0169-TS,ART-0169-TS-58,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,XL
ART-0169-TS,ART-0169-TS-59,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,2XL
ART-0169-TS,ART-0169-TS-60,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,3XL
ART-0169-TS,ART-0169-TS-61,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,M
ART-0169-TS,ART-0169-TS-62,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,L
ART-0169-TS,ART-0169-TS-63,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,XL
ART-0169-TS,ART-0169-TS-64,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,2XL
ART-0169-TS,ART-0169-TS-65,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,3XL
ART-0169-TS,ART-0169-TS-66,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,M
ART-0169-TS,ART-0169-TS-67,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,L
ART-0169-TS,ART-0169-TS-68,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,XL
ART-0169-TS,ART-0169-TS-69,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,2XL
ART-0169-TS,ART-0169-TS-70,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,3XL
ART-0169-TS,ART-0169-TS-71,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,M
ART-0169-TS,ART-0169-TS-72,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,L
ART-0169-TS,ART-0169-TS-73,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,XL
ART-0169-TS,ART-0169-TS-74,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,M
ART-0169-TS,ART-0169-TS-75,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,L
ART-0169-TS,ART-0169-TS-76,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,XL
ART-0169-TS,ART-0169-TS-77,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,M
ART-0169-TS,ART-0169-TS-78,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,L
ART-0169-TS,ART-0169-TS-79,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,XL
