sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0380-HD,ART-0380-HD,این زندگی توست,publish,product,product,variable,سریال و فیلم باز>فیلم,#David_Fincher|#Fight_club,120000,,120000,no,instock,ART-0380-TS-color1.jpg|ART-0380-TS-color1-men.jpg|ART-0380-TS-color1-women.jpg|ART-0380-TS-color2.jpg|ART-0380-TS-color2-men.jpg|ART-0380-TS-color2-women.jpg|ART-0380-TS-color3.jpg|ART-0380-TS-color3-men.jpg|ART-0380-TS-color3-women.jpg|ART-0380-TS-color4.jpg|ART-0380-TS-color4-men.jpg|ART-0380-TS-color4-women.jpg|ART-0380-TS-color5.jpg|ART-0380-TS-color5-men.jpg|ART-0380-TS-color5-women.jpg|ART-0380-TS-color6.jpg|ART-0380-TS-color6-men.jpg|ART-0380-TS-color6-women.jpg|ART-0380-TS-color7.jpg|ART-0380-TS-color7-men.jpg|ART-0380-TS-color7-women.jpg|ART-0380-HD-color8.jpg|ART-0380-HD-color8-men.jpg|ART-0380-HD-color8-women.jpg|ART-0380-HD-color2.jpg|ART-0380-HD-color2-men.jpg|ART-0380-HD-color2-women.jpg|ART-0380-HD-color5.jpg|ART-0380-HD-color5-men.jpg|ART-0380-HD-color5-women.jpg|ART-0380-HD-color9.jpg|ART-0380-HD-color9-men.jpg|ART-0380-HD-color9-women.jpg|ART-0380-HD-color10.jpg|ART-0380-HD-color10-men.jpg|ART-0380-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,5.0,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0381-HD,ART-0381-HD,چهره خونین Tyler,publish,product,product,variable,سریال و فیلم باز>فیلم,#David_Fincher|#Fight_club,120000,,120000,no,instock,ART-0381-TS-color1.jpg|ART-0381-TS-color1-men.jpg|ART-0381-TS-color1-women.jpg|ART-0381-TS-color2.jpg|ART-0381-TS-color2-men.jpg|ART-0381-TS-color2-women.jpg|ART-0381-TS-color3.jpg|ART-0381-TS-color3-men.jpg|ART-0381-TS-color3-women.jpg|ART-0381-TS-color4.jpg|ART-0381-TS-color4-men.jpg|ART-0381-TS-color4-women.jpg|ART-0381-TS-color5.jpg|ART-0381-TS-color5-men.jpg|ART-0381-TS-color5-women.jpg|ART-0381-TS-color6.jpg|ART-0381-TS-color6-men.jpg|ART-0381-TS-color6-women.jpg|ART-0381-TS-color7.jpg|ART-0381-TS-color7-men.jpg|ART-0381-TS-color7-women.jpg|ART-0381-HD-color8.jpg|ART-0381-HD-color8-men.jpg|ART-0381-HD-color8-women.jpg|ART-0381-HD-color2.jpg|ART-0381-HD-color2-men.jpg|ART-0381-HD-color2-women.jpg|ART-0381-HD-color5.jpg|ART-0381-HD-color5-men.jpg|ART-0381-HD-color5-women.jpg|ART-0381-HD-color9.jpg|ART-0381-HD-color9-men.jpg|ART-0381-HD-color9-women.jpg|ART-0381-HD-color10.jpg|ART-0381-HD-color10-men.jpg|ART-0381-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0382-HD,ART-0382-HD,کام عمیق جوکر,publish,product,product,variable,سریال و فیلم باز>فیلم,#جوکر|#سیگار,120000,,120000,no,instock,ART-0382-TS-color1.jpg|ART-0382-TS-color1-men.jpg|ART-0382-TS-color1-women.jpg|ART-0382-TS-color2.jpg|ART-0382-TS-color2-men.jpg|ART-0382-TS-color2-women.jpg|ART-0382-TS-color3.jpg|ART-0382-TS-color3-men.jpg|ART-0382-TS-color3-women.jpg|ART-0382-TS-color4.jpg|ART-0382-TS-color4-men.jpg|ART-0382-TS-color4-women.jpg|ART-0382-TS-color5.jpg|ART-0382-TS-color5-men.jpg|ART-0382-TS-color5-women.jpg|ART-0382-TS-color6.jpg|ART-0382-TS-color6-men.jpg|ART-0382-TS-color6-women.jpg|ART-0382-TS-color7.jpg|ART-0382-TS-color7-men.jpg|ART-0382-TS-color7-women.jpg|ART-0382-HD-color8.jpg|ART-0382-HD-color8-men.jpg|ART-0382-HD-color8-women.jpg|ART-0382-HD-color2.jpg|ART-0382-HD-color2-men.jpg|ART-0382-HD-color2-women.jpg|ART-0382-HD-color5.jpg|ART-0382-HD-color5-men.jpg|ART-0382-HD-color5-women.jpg|ART-0382-HD-color9.jpg|ART-0382-HD-color9-men.jpg|ART-0382-HD-color9-women.jpg|ART-0382-HD-color10.jpg|ART-0382-HD-color10-men.jpg|ART-0382-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.6,5,5,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0383-HD,ART-0383-HD,آخ جون صبح شد,publish,product,product,variable,حیوانات جذاب>تنبل,#قهوه,120000,,120000,no,instock,ART-0383-TS-color1.jpg|ART-0383-TS-color1-men.jpg|ART-0383-TS-color1-women.jpg|ART-0383-TS-color2.jpg|ART-0383-TS-color2-men.jpg|ART-0383-TS-color2-women.jpg|ART-0383-TS-color3.jpg|ART-0383-TS-color3-men.jpg|ART-0383-TS-color3-women.jpg|ART-0383-TS-color4.jpg|ART-0383-TS-color4-men.jpg|ART-0383-TS-color4-women.jpg|ART-0383-TS-color5.jpg|ART-0383-TS-color5-men.jpg|ART-0383-TS-color5-women.jpg|ART-0383-TS-color6.jpg|ART-0383-TS-color6-men.jpg|ART-0383-TS-color6-women.jpg|ART-0383-TS-color7.jpg|ART-0383-TS-color7-men.jpg|ART-0383-TS-color7-women.jpg|ART-0383-HD-color8.jpg|ART-0383-HD-color8-men.jpg|ART-0383-HD-color8-women.jpg|ART-0383-HD-color2.jpg|ART-0383-HD-color2-men.jpg|ART-0383-HD-color2-women.jpg|ART-0383-HD-color5.jpg|ART-0383-HD-color5-men.jpg|ART-0383-HD-color5-women.jpg|ART-0383-HD-color9.jpg|ART-0383-HD-color9-men.jpg|ART-0383-HD-color9-women.jpg|ART-0383-HD-color10.jpg|ART-0383-HD-color10-men.jpg|ART-0383-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.9,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0384-HD,ART-0384-HD,آناتومی گربه,publish,product,product,variable,حیوانات جذاب>گربه,#قلب|#فان,120000,,120000,no,instock,ART-0384-TS-color1.jpg|ART-0384-TS-color1-men.jpg|ART-0384-TS-color1-women.jpg|ART-0384-TS-color2.jpg|ART-0384-TS-color2-men.jpg|ART-0384-TS-color2-women.jpg|ART-0384-TS-color3.jpg|ART-0384-TS-color3-men.jpg|ART-0384-TS-color3-women.jpg|ART-0384-TS-color4.jpg|ART-0384-TS-color4-men.jpg|ART-0384-TS-color4-women.jpg|ART-0384-TS-color5.jpg|ART-0384-TS-color5-men.jpg|ART-0384-TS-color5-women.jpg|ART-0384-TS-color6.jpg|ART-0384-TS-color6-men.jpg|ART-0384-TS-color6-women.jpg|ART-0384-TS-color7.jpg|ART-0384-TS-color7-men.jpg|ART-0384-TS-color7-women.jpg|ART-0384-HD-color8.jpg|ART-0384-HD-color8-men.jpg|ART-0384-HD-color8-women.jpg|ART-0384-HD-color2.jpg|ART-0384-HD-color2-men.jpg|ART-0384-HD-color2-women.jpg|ART-0384-HD-color5.jpg|ART-0384-HD-color5-men.jpg|ART-0384-HD-color5-women.jpg|ART-0384-HD-color9.jpg|ART-0384-HD-color9-men.jpg|ART-0384-HD-color9-women.jpg|ART-0384-HD-color10.jpg|ART-0384-HD-color10-men.jpg|ART-0384-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0385-HD,ART-0385-HD,گذرگاه اکسپرسیونیسم,publish,product,product,variable,انتزاعی و سورئال>اسکلت,#اکسپرسیونیسم,120000,,120000,no,instock,ART-0385-TS-color1.jpg|ART-0385-TS-color1-men.jpg|ART-0385-TS-color1-women.jpg|ART-0385-TS-color2.jpg|ART-0385-TS-color2-men.jpg|ART-0385-TS-color2-women.jpg|ART-0385-TS-color3.jpg|ART-0385-TS-color3-men.jpg|ART-0385-TS-color3-women.jpg|ART-0385-TS-color4.jpg|ART-0385-TS-color4-men.jpg|ART-0385-TS-color4-women.jpg|ART-0385-TS-color5.jpg|ART-0385-TS-color5-men.jpg|ART-0385-TS-color5-women.jpg|ART-0385-TS-color6.jpg|ART-0385-TS-color6-men.jpg|ART-0385-TS-color6-women.jpg|ART-0385-TS-color7.jpg|ART-0385-TS-color7-men.jpg|ART-0385-TS-color7-women.jpg|ART-0385-HD-color8.jpg|ART-0385-HD-color8-men.jpg|ART-0385-HD-color8-women.jpg|ART-0385-HD-color2.jpg|ART-0385-HD-color2-men.jpg|ART-0385-HD-color2-women.jpg|ART-0385-HD-color5.jpg|ART-0385-HD-color5-men.jpg|ART-0385-HD-color5-women.jpg|ART-0385-HD-color9.jpg|ART-0385-HD-color9-men.jpg|ART-0385-HD-color9-women.jpg|ART-0385-HD-color10.jpg|ART-0385-HD-color10-men.jpg|ART-0385-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0386-HD,ART-0386-HD,موز فیکشن,publish,product,product,variable,سریال و فیلم باز>فیلم,#موز|#Pulp_fiction|#تارانتینو|#tarantino|#فان,120000,,120000,no,instock,ART-0386-TS-color1.jpg|ART-0386-TS-color1-men.jpg|ART-0386-TS-color1-women.jpg|ART-0386-TS-color2.jpg|ART-0386-TS-color2-men.jpg|ART-0386-TS-color2-women.jpg|ART-0386-TS-color3.jpg|ART-0386-TS-color3-men.jpg|ART-0386-TS-color3-women.jpg|ART-0386-TS-color4.jpg|ART-0386-TS-color4-men.jpg|ART-0386-TS-color4-women.jpg|ART-0386-TS-color5.jpg|ART-0386-TS-color5-men.jpg|ART-0386-TS-color5-women.jpg|ART-0386-TS-color6.jpg|ART-0386-TS-color6-men.jpg|ART-0386-TS-color6-women.jpg|ART-0386-TS-color7.jpg|ART-0386-TS-color7-men.jpg|ART-0386-TS-color7-women.jpg|ART-0386-HD-color8.jpg|ART-0386-HD-color8-men.jpg|ART-0386-HD-color8-women.jpg|ART-0386-HD-color2.jpg|ART-0386-HD-color2-men.jpg|ART-0386-HD-color2-women.jpg|ART-0386-HD-color5.jpg|ART-0386-HD-color5-men.jpg|ART-0386-HD-color5-women.jpg|ART-0386-HD-color9.jpg|ART-0386-HD-color9-men.jpg|ART-0386-HD-color9-women.jpg|ART-0386-HD-color10.jpg|ART-0386-HD-color10-men.jpg|ART-0386-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0387-HD,ART-0387-HD,دوچرخه‌ی هندسی,publish,product,product,variable,ورزش و بازی>غیره,#دوچرخه‌‌|#هندسه,120000,,120000,no,instock,ART-0387-TS-color1.jpg|ART-0387-TS-color1-men.jpg|ART-0387-TS-color1-women.jpg|ART-0387-TS-color2.jpg|ART-0387-TS-color2-men.jpg|ART-0387-TS-color2-women.jpg|ART-0387-TS-color3.jpg|ART-0387-TS-color3-men.jpg|ART-0387-TS-color3-women.jpg|ART-0387-TS-color4.jpg|ART-0387-TS-color4-men.jpg|ART-0387-TS-color4-women.jpg|ART-0387-TS-color5.jpg|ART-0387-TS-color5-men.jpg|ART-0387-TS-color5-women.jpg|ART-0387-TS-color6.jpg|ART-0387-TS-color6-men.jpg|ART-0387-TS-color6-women.jpg|ART-0387-TS-color7.jpg|ART-0387-TS-color7-men.jpg|ART-0387-TS-color7-women.jpg|ART-0387-HD-color8.jpg|ART-0387-HD-color8-men.jpg|ART-0387-HD-color8-women.jpg|ART-0387-HD-color2.jpg|ART-0387-HD-color2-men.jpg|ART-0387-HD-color2-women.jpg|ART-0387-HD-color5.jpg|ART-0387-HD-color5-men.jpg|ART-0387-HD-color5-women.jpg|ART-0387-HD-color9.jpg|ART-0387-HD-color9-men.jpg|ART-0387-HD-color9-women.jpg|ART-0387-HD-color10.jpg|ART-0387-HD-color10-men.jpg|ART-0387-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.9,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0388-HD,ART-0388-HD,صبح بخیر گربه,publish,product,product,variable,حیوانات جذاب>گربه,#قهوه,120000,,120000,no,instock,ART-0388-TS-color1.jpg|ART-0388-TS-color1-men.jpg|ART-0388-TS-color1-women.jpg|ART-0388-TS-color2.jpg|ART-0388-TS-color2-men.jpg|ART-0388-TS-color2-women.jpg|ART-0388-TS-color3.jpg|ART-0388-TS-color3-men.jpg|ART-0388-TS-color3-women.jpg|ART-0388-TS-color4.jpg|ART-0388-TS-color4-men.jpg|ART-0388-TS-color4-women.jpg|ART-0388-TS-color5.jpg|ART-0388-TS-color5-men.jpg|ART-0388-TS-color5-women.jpg|ART-0388-TS-color6.jpg|ART-0388-TS-color6-men.jpg|ART-0388-TS-color6-women.jpg|ART-0388-TS-color7.jpg|ART-0388-TS-color7-men.jpg|ART-0388-TS-color7-women.jpg|ART-0388-HD-color8.jpg|ART-0388-HD-color8-men.jpg|ART-0388-HD-color8-women.jpg|ART-0388-HD-color2.jpg|ART-0388-HD-color2-men.jpg|ART-0388-HD-color2-women.jpg|ART-0388-HD-color5.jpg|ART-0388-HD-color5-men.jpg|ART-0388-HD-color5-women.jpg|ART-0388-HD-color9.jpg|ART-0388-HD-color9-men.jpg|ART-0388-HD-color9-women.jpg|ART-0388-HD-color10.jpg|ART-0388-HD-color10-men.jpg|ART-0388-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,مشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0389-HD,ART-0389-HD,طیف مرئی,publish,product,product,variable,انتزاعی و سورئال>غیره,#چشم,120000,,120000,no,instock,ART-0389-TS-color1.jpg|ART-0389-TS-color1-men.jpg|ART-0389-TS-color1-women.jpg|ART-0389-TS-color2.jpg|ART-0389-TS-color2-men.jpg|ART-0389-TS-color2-women.jpg|ART-0389-TS-color3.jpg|ART-0389-TS-color3-men.jpg|ART-0389-TS-color3-women.jpg|ART-0389-TS-color4.jpg|ART-0389-TS-color4-men.jpg|ART-0389-TS-color4-women.jpg|ART-0389-TS-color5.jpg|ART-0389-TS-color5-men.jpg|ART-0389-TS-color5-women.jpg|ART-0389-TS-color6.jpg|ART-0389-TS-color6-men.jpg|ART-0389-TS-color6-women.jpg|ART-0389-TS-color7.jpg|ART-0389-TS-color7-men.jpg|ART-0389-TS-color7-women.jpg|ART-0389-HD-color8.jpg|ART-0389-HD-color8-men.jpg|ART-0389-HD-color8-women.jpg|ART-0389-HD-color2.jpg|ART-0389-HD-color2-men.jpg|ART-0389-HD-color2-women.jpg|ART-0389-HD-color5.jpg|ART-0389-HD-color5-men.jpg|ART-0389-HD-color5-women.jpg|ART-0389-HD-color9.jpg|ART-0389-HD-color9-men.jpg|ART-0389-HD-color9-women.jpg|ART-0389-HD-color10.jpg|ART-0389-HD-color10-men.jpg|ART-0389-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,مشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0390-HD,ART-0390-HD,راحت‌ترین تخت خواب,publish,product,product,variable,حیوانات جذاب>پاندا,#خواب,120000,,120000,no,instock,ART-0390-TS-color1.jpg|ART-0390-TS-color1-men.jpg|ART-0390-TS-color1-women.jpg|ART-0390-TS-color2.jpg|ART-0390-TS-color2-men.jpg|ART-0390-TS-color2-women.jpg|ART-0390-TS-color3.jpg|ART-0390-TS-color3-men.jpg|ART-0390-TS-color3-women.jpg|ART-0390-TS-color4.jpg|ART-0390-TS-color4-men.jpg|ART-0390-TS-color4-women.jpg|ART-0390-TS-color5.jpg|ART-0390-TS-color5-men.jpg|ART-0390-TS-color5-women.jpg|ART-0390-TS-color6.jpg|ART-0390-TS-color6-men.jpg|ART-0390-TS-color6-women.jpg|ART-0390-TS-color7.jpg|ART-0390-TS-color7-men.jpg|ART-0390-TS-color7-women.jpg|ART-0390-HD-color8.jpg|ART-0390-HD-color8-men.jpg|ART-0390-HD-color8-women.jpg|ART-0390-HD-color2.jpg|ART-0390-HD-color2-men.jpg|ART-0390-HD-color2-women.jpg|ART-0390-HD-color5.jpg|ART-0390-HD-color5-men.jpg|ART-0390-HD-color5-women.jpg|ART-0390-HD-color9.jpg|ART-0390-HD-color9-men.jpg|ART-0390-HD-color9-women.jpg|ART-0390-HD-color10.jpg|ART-0390-HD-color10-men.jpg|ART-0390-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.3,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
