parent_sku,sku,regular_price,meta:_regular_price,meta:_price,sale_price,manage_stock,stock_status,meta:attribute_pa_style,meta:attribute_pa_sex,meta:attribute_pa_color,meta:attribute_pa_size
ART-0169-HD,ART-0169-HD-55,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,3XL
ART-0169-HD,ART-0169-HD-56,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,M
ART-0169-HD,ART-0169-HD-57,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,L
ART-0169-HD,ART-0169-HD-58,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,XL
ART-0169-HD,ART-0169-HD-59,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,2XL
ART-0169-HD,ART-0169-HD-60,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,3XL
ART-0169-HD,ART-0169-HD-61,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,M
ART-0169-HD,ART-0169-HD-62,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,L
ART-0169-HD,ART-0169-HD-63,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,XL
ART-0169-HD,ART-0169-HD-64,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,2XL
ART-0169-HD,ART-0169-HD-65,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرد,3XL
ART-0169-HD,ART-0169-HD-66,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,M
ART-0169-HD,ART-0169-HD-67,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,L
ART-0169-HD,ART-0169-HD-68,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,XL
ART-0169-HD,ART-0169-HD-69,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,2XL
ART-0169-HD,ART-0169-HD-70,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,3XL
ART-0169-HD,ART-0169-HD-71,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,M
ART-0169-HD,ART-0169-HD-72,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,L
ART-0169-HD,ART-0169-HD-73,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,XL
ART-0169-HD,ART-0169-HD-74,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,M
ART-0169-HD,ART-0169-HD-75,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,L
ART-0169-HD,ART-0169-HD-76,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,XL
ART-0169-HD,ART-0169-HD-77,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,M
ART-0169-HD,ART-0169-HD-78,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,L
ART-0169-HD,ART-0169-HD-79,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,XL
ART-0169-HD,ART-0169-HD-80,320000,320000,320000,320000,no,instock,هودی,آقایان,نارنجی,M
ART-0169-HD,ART-0169-HD-81,320000,320000,320000,320000,no,instock,هودی,آقایان,نارنجی,L
ART-0169-HD,ART-0169-HD-82,320000,320000,320000,320000,no,instock,هودی,آقایان,نارنجی,XL
ART-0169-HD,ART-0169-HD-83,320000,320000,320000,320000,no,instock,هودی,آقایان,سرمه‌ای,M
ART-0169-HD,ART-0169-HD-84,320000,320000,320000,320000,no,instock,هودی,آقایان,سرمه‌ای,L
ART-0169-HD,ART-0169-HD-85,320000,320000,320000,320000,no,instock,هودی,آقایان,سرمه‌ای,XL
ART-0169-HD,ART-0169-HD-86,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,ملانژ,M
ART-0169-HD,ART-0169-HD-87,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,ملانژ,L
ART-0169-HD,ART-0169-HD-88,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,ملانژ,XL
ART-0169-HD,ART-0169-HD-89,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,مشکی,M
ART-0169-HD,ART-0169-HD-90,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,مشکی,L
ART-0169-HD,ART-0169-HD-91,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,مشکی,XL
ART-0169-HD,ART-0169-HD-92,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,زرشکی,M
ART-0169-HD,ART-0169-HD-93,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,زرشکی,L
ART-0169-HD,ART-0169-HD-94,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,زرشکی,XL
ART-0169-HD,ART-0169-HD-95,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,نارنجی,M
ART-0169-HD,ART-0169-HD-96,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,نارنجی,L
ART-0169-HD,ART-0169-HD-97,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,نارنجی,XL
ART-0169-HD,ART-0169-HD-98,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,سرمه‌ای,M
ART-0169-HD,ART-0169-HD-99,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,سرمه‌ای,L
ART-0169-HD,ART-0169-HD-100,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,سرمه‌ای,XL
ART-0170-HD,ART-0170-HD-1,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,M
ART-0170-HD,ART-0170-HD-2,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,L
ART-0170-HD,ART-0170-HD-3,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,XL
ART-0170-HD,ART-0170-HD-4,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,2XL
ART-0170-HD,ART-0170-HD-5,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,3XL
ART-0170-HD,ART-0170-HD-6,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,M
ART-0170-HD,ART-0170-HD-7,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,L
ART-0170-HD,ART-0170-HD-8,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,XL
ART-0170-HD,ART-0170-HD-9,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,2XL
ART-0170-HD,ART-0170-HD-10,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,3XL
