parent_sku,sku,regular_price,meta:_regular_price,meta:_price,sale_price,manage_stock,stock_status,meta:attribute_pa_style,meta:attribute_pa_sex,meta:attribute_pa_color,meta:attribute_pa_size,image
ART-0697-HD,ART-0697-HD-1,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,M,ART-0697-TS-color1-men.jpg
ART-0697-HD,ART-0697-HD-2,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,L,ART-0697-TS-color1-men.jpg
ART-0697-HD,ART-0697-HD-3,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,XL,ART-0697-TS-color1-men.jpg
ART-0697-HD,ART-0697-HD-4,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,2XL,ART-0697-TS-color1-men.jpg
ART-0697-HD,ART-0697-HD-5,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,3XL,ART-0697-TS-color1-men.jpg
ART-0697-HD,ART-0697-HD-6,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,M,ART-0697-TS-color2-men.jpg
ART-0697-HD,ART-0697-HD-7,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,L,ART-0697-TS-color2-men.jpg
ART-0697-HD,ART-0697-HD-8,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,XL,ART-0697-TS-color2-men.jpg
ART-0697-HD,ART-0697-HD-9,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,2XL,ART-0697-TS-color2-men.jpg
ART-0697-HD,ART-0697-HD-10,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,3XL,ART-0697-TS-color2-men.jpg
ART-0697-HD,ART-0697-HD-11,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,M,ART-0697-TS-color3-men.jpg
ART-0697-HD,ART-0697-HD-12,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,L,ART-0697-TS-color3-men.jpg
ART-0697-HD,ART-0697-HD-13,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,XL,ART-0697-TS-color3-men.jpg
ART-0697-HD,ART-0697-HD-14,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,2XL,ART-0697-TS-color3-men.jpg
ART-0697-HD,ART-0697-HD-15,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,3XL,ART-0697-TS-color3-men.jpg
ART-0697-HD,ART-0697-HD-16,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,M,ART-0697-TS-color4-men.jpg
ART-0697-HD,ART-0697-HD-17,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,L,ART-0697-TS-color4-men.jpg
ART-0697-HD,ART-0697-HD-18,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,XL,ART-0697-TS-color4-men.jpg
ART-0697-HD,ART-0697-HD-19,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,2XL,ART-0697-TS-color4-men.jpg
ART-0697-HD,ART-0697-HD-20,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,3XL,ART-0697-TS-color4-men.jpg
ART-0697-HD,ART-0697-HD-21,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,M,ART-0697-TS-color5-men.jpg
