parent_sku,sku,regular_price,meta:_regular_price,meta:_price,sale_price,manage_stock,stock_status,meta:attribute_pa_style,meta:attribute_pa_sex,meta:attribute_pa_color,meta:attribute_pa_size,image
ART-0001-HD,ART-0001-HD-1,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,M,ART-0001-TS-color1-men.jpg
ART-0001-HD,ART-0001-HD-2,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,L,ART-0001-TS-color1-men.jpg
ART-0001-HD,ART-0001-HD-3,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,XL,ART-0001-TS-color1-men.jpg
ART-0001-HD,ART-0001-HD-4,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,2XL,ART-0001-TS-color1-men.jpg
ART-0001-HD,ART-0001-HD-5,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,3XL,ART-0001-TS-color1-men.jpg
ART-0001-HD,ART-0001-HD-6,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,M,ART-0001-TS-color2-men.jpg
ART-0001-HD,ART-0001-HD-7,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,L,ART-0001-TS-color2-men.jpg
ART-0001-HD,ART-0001-HD-8,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,XL,ART-0001-TS-color2-men.jpg
ART-0001-HD,ART-0001-HD-9,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,2XL,ART-0001-TS-color2-men.jpg
ART-0001-HD,ART-0001-HD-10,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,3XL,ART-0001-TS-color2-men.jpg
ART-0001-HD,ART-0001-HD-11,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,M,ART-0001-TS-color4-men.jpg
ART-0001-HD,ART-0001-HD-12,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,L,ART-0001-TS-color4-men.jpg
ART-0001-HD,ART-0001-HD-13,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,XL,ART-0001-TS-color4-men.jpg
ART-0001-HD,ART-0001-HD-14,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,2XL,ART-0001-TS-color4-men.jpg
ART-0001-HD,ART-0001-HD-15,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,3XL,ART-0001-TS-color4-men.jpg
ART-0001-HD,ART-0001-HD-16,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,M,ART-0001-TS-color5-men.jpg
ART-0001-HD,ART-0001-HD-17,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,L,ART-0001-TS-color5-men.jpg
ART-0001-HD,ART-0001-HD-18,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,XL,ART-0001-TS-color5-men.jpg
ART-0001-HD,ART-0001-HD-19,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,2XL,ART-0001-TS-color5-men.jpg
ART-0001-HD,ART-0001-HD-20,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,3XL,ART-0001-TS-color5-men.jpg
ART-0001-HD,ART-0001-HD-21,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,M,ART-0001-TS-color7-men.jpg
ART-0001-HD,ART-0001-HD-22,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,L,ART-0001-TS-color7-men.jpg
ART-0001-HD,ART-0001-HD-23,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,XL,ART-0001-TS-color7-men.jpg
ART-0001-HD,ART-0001-HD-24,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,2XL,ART-0001-TS-color7-men.jpg
ART-0001-HD,ART-0001-HD-25,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,3XL,ART-0001-TS-color7-men.jpg
ART-0001-HD,ART-0001-HD-26,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,M,ART-0001-TS-color1-women.jpg
ART-0001-HD,ART-0001-HD-27,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,L,ART-0001-TS-color1-women.jpg
ART-0001-HD,ART-0001-HD-28,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,XL,ART-0001-TS-color1-women.jpg
ART-0001-HD,ART-0001-HD-29,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,2XL,ART-0001-TS-color1-women.jpg
ART-0001-HD,ART-0001-HD-30,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,3XL,ART-0001-TS-color1-women.jpg
ART-0001-HD,ART-0001-HD-31,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,M,ART-0001-TS-color2-women.jpg
ART-0001-HD,ART-0001-HD-32,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,L,ART-0001-TS-color2-women.jpg
ART-0001-HD,ART-0001-HD-33,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,XL,ART-0001-TS-color2-women.jpg
ART-0001-HD,ART-0001-HD-34,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,2XL,ART-0001-TS-color2-women.jpg
ART-0001-HD,ART-0001-HD-35,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,3XL,ART-0001-TS-color2-women.jpg
ART-0001-HD,ART-0001-HD-36,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,M,ART-0001-TS-color4-women.jpg
ART-0001-HD,ART-0001-HD-37,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,L,ART-0001-TS-color4-women.jpg
ART-0001-HD,ART-0001-HD-38,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,XL,ART-0001-TS-color4-women.jpg
ART-0001-HD,ART-0001-HD-39,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,2XL,ART-0001-TS-color4-women.jpg
ART-0001-HD,ART-0001-HD-40,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,آبی,3XL,ART-0001-TS-color4-women.jpg
ART-0001-HD,ART-0001-HD-41,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,M,ART-0001-TS-color5-women.jpg
ART-0001-HD,ART-0001-HD-42,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,L,ART-0001-TS-color5-women.jpg
ART-0001-HD,ART-0001-HD-43,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,XL,ART-0001-TS-color5-women.jpg
ART-0001-HD,ART-0001-HD-44,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,2XL,ART-0001-TS-color5-women.jpg
ART-0001-HD,ART-0001-HD-45,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,زرشکی,3XL,ART-0001-TS-color5-women.jpg
ART-0001-HD,ART-0001-HD-46,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,M,ART-0001-TS-color7-women.jpg
ART-0001-HD,ART-0001-HD-47,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,L,ART-0001-TS-color7-women.jpg
ART-0001-HD,ART-0001-HD-48,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,XL,ART-0001-TS-color7-women.jpg
ART-0001-HD,ART-0001-HD-49,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,2XL,ART-0001-TS-color7-women.jpg
ART-0001-HD,ART-0001-HD-50,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سبز-خاکی,3XL,ART-0001-TS-color7-women.jpg
ART-0001-HD,ART-0001-HD-51,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,M,ART-0001-HD-color8.jpg
ART-0001-HD,ART-0001-HD-52,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,L,ART-0001-HD-color8.jpg
ART-0001-HD,ART-0001-HD-53,320000,320000,320000,320000,no,instock,هودی,آقایان,ملانژ,XL,ART-0001-HD-color8.jpg
ART-0001-HD,ART-0001-HD-54,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,M,ART-0001-HD-color2.jpg
ART-0001-HD,ART-0001-HD-55,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,L,ART-0001-HD-color2.jpg
ART-0001-HD,ART-0001-HD-56,320000,320000,320000,320000,no,instock,هودی,آقایان,مشکی,XL,ART-0001-HD-color2.jpg
ART-0001-HD,ART-0001-HD-57,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,M,ART-0001-HD-color5.jpg
ART-0001-HD,ART-0001-HD-58,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,L,ART-0001-HD-color5.jpg
ART-0001-HD,ART-0001-HD-59,320000,320000,320000,320000,no,instock,هودی,آقایان,زرشکی,XL,ART-0001-HD-color5.jpg
ART-0001-HD,ART-0001-HD-60,320000,320000,320000,320000,no,instock,هودی,آقایان,نارنجی,M,ART-0001-HD-color9.jpg
ART-0001-HD,ART-0001-HD-61,320000,320000,320000,320000,no,instock,هودی,آقایان,نارنجی,L,ART-0001-HD-color9.jpg
ART-0001-HD,ART-0001-HD-62,320000,320000,320000,320000,no,instock,هودی,آقایان,نارنجی,XL,ART-0001-HD-color9.jpg
ART-0001-HD,ART-0001-HD-63,320000,320000,320000,320000,no,instock,هودی,آقایان,سرمه‌ای,M,ART-0001-HD-color10.jpg
ART-0001-HD,ART-0001-HD-64,320000,320000,320000,320000,no,instock,هودی,آقایان,سرمه‌ای,L,ART-0001-HD-color10.jpg
ART-0001-HD,ART-0001-HD-65,320000,320000,320000,320000,no,instock,هودی,آقایان,سرمه‌ای,XL,ART-0001-HD-color10.jpg
ART-0001-HD,ART-0001-HD-66,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,ملانژ,M,ART-0001-HD-color8.jpg
ART-0001-HD,ART-0001-HD-67,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,ملانژ,L,ART-0001-HD-color8.jpg
ART-0001-HD,ART-0001-HD-68,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,ملانژ,XL,ART-0001-HD-color8.jpg
ART-0001-HD,ART-0001-HD-69,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,مشکی,M,ART-0001-HD-color2.jpg
ART-0001-HD,ART-0001-HD-70,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,مشکی,L,ART-0001-HD-color2.jpg
ART-0001-HD,ART-0001-HD-71,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,مشکی,XL,ART-0001-HD-color2.jpg
ART-0001-HD,ART-0001-HD-72,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,زرشکی,M,ART-0001-HD-color5.jpg
ART-0001-HD,ART-0001-HD-73,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,زرشکی,L,ART-0001-HD-color5.jpg
ART-0001-HD,ART-0001-HD-74,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,زرشکی,XL,ART-0001-HD-color5.jpg
ART-0001-HD,ART-0001-HD-75,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,نارنجی,M,ART-0001-HD-color9.jpg
ART-0001-HD,ART-0001-HD-76,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,نارنجی,L,ART-0001-HD-color9.jpg
ART-0001-HD,ART-0001-HD-77,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,نارنجی,XL,ART-0001-HD-color9.jpg
ART-0001-HD,ART-0001-HD-78,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,سرمه‌ای,M,ART-0001-HD-color10.jpg
ART-0001-HD,ART-0001-HD-79,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,سرمه‌ای,L,ART-0001-HD-color10.jpg
ART-0001-HD,ART-0001-HD-80,320000,320000,320000,320000,no,instock,هودی,خانم‌ها,سرمه‌ای,XL,ART-0001-HD-color10.jpg
ART-0002-HD,ART-0002-HD-1,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,M,ART-0002-TS-color1-men.jpg
ART-0002-HD,ART-0002-HD-2,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,L,ART-0002-TS-color1-men.jpg
ART-0002-HD,ART-0002-HD-3,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,XL,ART-0002-TS-color1-men.jpg
ART-0002-HD,ART-0002-HD-4,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,2XL,ART-0002-TS-color1-men.jpg
ART-0002-HD,ART-0002-HD-5,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,3XL,ART-0002-TS-color1-men.jpg
ART-0002-HD,ART-0002-HD-6,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,M,ART-0002-TS-color2-men.jpg
ART-0002-HD,ART-0002-HD-7,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,L,ART-0002-TS-color2-men.jpg
ART-0002-HD,ART-0002-HD-8,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,XL,ART-0002-TS-color2-men.jpg
ART-0002-HD,ART-0002-HD-9,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,2XL,ART-0002-TS-color2-men.jpg
ART-0002-HD,ART-0002-HD-10,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,3XL,ART-0002-TS-color2-men.jpg
ART-0002-HD,ART-0002-HD-11,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,M,ART-0002-TS-color3-men.jpg
ART-0002-HD,ART-0002-HD-12,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,L,ART-0002-TS-color3-men.jpg
ART-0002-HD,ART-0002-HD-13,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,XL,ART-0002-TS-color3-men.jpg
ART-0002-HD,ART-0002-HD-14,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,2XL,ART-0002-TS-color3-men.jpg
ART-0002-HD,ART-0002-HD-15,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,3XL,ART-0002-TS-color3-men.jpg
ART-0002-HD,ART-0002-HD-16,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,M,ART-0002-TS-color4-men.jpg
ART-0002-HD,ART-0002-HD-17,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,L,ART-0002-TS-color4-men.jpg
ART-0002-HD,ART-0002-HD-18,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,XL,ART-0002-TS-color4-men.jpg
ART-0002-HD,ART-0002-HD-19,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,2XL,ART-0002-TS-color4-men.jpg
ART-0002-HD,ART-0002-HD-20,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,3XL,ART-0002-TS-color4-men.jpg
ART-0002-HD,ART-0002-HD-21,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,M,ART-0002-TS-color5-men.jpg
ART-0002-HD,ART-0002-HD-22,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,L,ART-0002-TS-color5-men.jpg
ART-0002-HD,ART-0002-HD-23,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,XL,ART-0002-TS-color5-men.jpg
ART-0002-HD,ART-0002-HD-24,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,2XL,ART-0002-TS-color5-men.jpg
ART-0002-HD,ART-0002-HD-25,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,3XL,ART-0002-TS-color5-men.jpg
ART-0002-HD,ART-0002-HD-26,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,M,ART-0002-TS-color6-men.jpg
ART-0002-HD,ART-0002-HD-27,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,L,ART-0002-TS-color6-men.jpg
